simulation,2025,2026,2027,2028,2029
808,0,0,15,0,0
809,0,1,0,1,0
810,0,0,0,0,0
811,3,1,0,1,3
812,0,0,0,0,7
813,24,1,6,2,0
814,88,1,0,2,4
815,0,0,2,0,8
816,0,12,0,0,1
817,0,0,4,6,1
818,4,0,6,9,3
819,0,0,1,0,29
820,3,0,1,0,0
821,1,6,4,11,20
822,0,2,1,18,16
823,0,0,0,0,0
824,0,0,0,0,0
825,1,14,8,1,37
826,4,0,0,11,2
827,1,4,0,1,1
828,15,13,0,0,11
829,0,0,2,0,0
830,20,11,8,0,0
831,0,0,0,1,0
832,2,0,0,0,0
833,2,10,0,6,0
834,3,2,0,0,0
835,6,0,26,0,0
836,1,1,1,0,0
837,0,8,0,5,2
838,6,12,12,0,0
839,2,1,0,20,0
840,0,0,0,0,0
841,0,0,1,0,3
842,0,3,0,0,0
843,0,3,0,0,8
844,0,1,0,12,0
845,1,0,0,0,1
846,0,6,20,3,25
847,16,0,0,1,2
848,118,0,64,0,0
849,0,9,4,0,0
850,0,1,13,0,0
851,2,31,0,0,0
852,1,0,0,0,0
853,4,2,18,0,86
854,0,0,2,0,0
855,0,7,1,39,2
856,1,0,5,4,0
857,2,0,0,4,0
858,0,27,0,0,4
859,0,10,0,0,23
860,16,0,23,29,6
861,0,0,0,0,27
862,8,12,2,0,0
863,3,8,17,16,0
864,0,1,0,0,4
865,39,0,1,7,0
866,0,0,2,4,0
867,8,2,4,0,2
868,0,0,1,0,2
869,44,21,3,11,0
870,0,2,0,0,0
871,2,0,23,1,24
872,0,3,6,78,0
873,0,11,0,0,1
874,30,0,0,0,0
875,0,0,0,0,0
876,1,26,4,0,3
877,0,0,6,20,6
878,0,0,1,5,0
879,0,0,0,1,7
880,0,0,0,4,0
881,7,0,0,6,0
882,126,9,8,24,0
883,1,1,6,0,0
884,8,2,84,8,0
885,0,11,0,1,2
886,1,0,0,23,0
887,6,1,56,0,74
888,8,0,4,1,0
889,0,0,0,13,0
890,2,15,1,1,0
891,0,0,44,7,0
892,0,1,4,0,0
893,1,0,0,0,2
894,45,0,1,0,0
895,1,35,0,1,6
896,0,0,0,10,10
897,0,0,2,14,0
898,4,72,0,2,1
899,0,6,1,0,1
900,0,0,2,4,0
901,0,0,0,0,2
902,5,6,0,12,0
903,0,0,4,7,13
904,13,2,1,0,0
905,2,14,0,0,8
906,0,9,17,0,15
907,0,0,2,0,22
908,0,0,9,0,6
909,0,0,11,3,0
910,3,8,2,13,0
911,0,7,0,2,0
912,0,0,1,4,36
913,4,2,0,0,7
914,0,0,3,1,0
915,7,12,0,0,0
916,2,1,0,0,1
917,1,27,7,2,0
918,1,0,0,0,0
919,0,15,22,0,8
920,2,2,0,0,3
921,0,60,0,27,0
922,0,40,10,0,133
923,0,0,0,7,0
924,0,0,0,2,0
925,0,0,41,108,0
926,1,0,0,2,1
927,0,0,0,10,22
928,0,0,244,122,12
929,0,0,5,0,1
930,5,0,0,0,4
931,1,29,1,4,0
932,0,30,23,0,0
933,31,0,0,0,2
934,8,0,0,38,0
935,0,0,0,0,4
936,1,0,0,5,0
937,15,1,15,0,0
938,0,0,0,0,0
939,25,4,2,1,0
940,0,53,3,0,1
941,0,0,0,17,0
942,29,0,2,1,1
943,4,12,12,46,8
