origin_year,date,model,observed,predicted,lower_80,upper_80,lower_95,upper_95
2020,2020-04-01,sarimax,31.9764249,32.49402776,30.21847157,34.76958396,29.01386489,35.97419064
2020,2020-05-01,sarimax,32.21074735,34.06949799,31.7939418,36.34505418,30.58933511,37.54966086
2020,2020-06-01,sarimax,32.17709173,32.98684277,30.71128658,35.26239897,29.5066799,36.46700565
2020,2020-03-01,ets,30.73526339,32.19317959,31.02355864,33.36280055,30.4043987,33.98196048
2020,2020-04-01,ets,31.9764249,33.28393459,32.11431364,34.45355555,31.4951537,35.07271548
2020,2020-05-01,ets,32.21074735,32.85840665,31.6887857,34.02802761,31.06962577,34.64718754
2020,2020-06-01,ets,32.17709173,32.12529077,30.95566982,33.29491172,30.33650988,33.91407166
2021,2021-03-01,seasonal_naive,33.31397345,30.73526339,29.03728309,32.43324368,28.13842662,33.33210015
2021,2021-04-01,seasonal_naive,35.4140913,31.9764249,30.2784446,33.6744052,29.37958813,34.57326167
2021,2021-05-01,seasonal_naive,33.23397297,32.21074735,30.51276706,33.90872765,29.61391059,34.80758412
2021,2021-06-01,seasonal_naive,31.26809163,32.17709173,30.47911144,33.87507203,29.58025497,34.7739285
2021,2021-03-01,monthly_climatology,33.31397345,31.76382193,30.55618369,32.97146017,29.91689862,33.61074524
2021,2021-04-01,monthly_climatology,35.4140913,32.85549974,31.6478615,34.06313798,31.00857643,34.70242304
2021,2021-05-01,monthly_climatology,33.23397297,32.43965467,31.23201643,33.64729291,30.59273136,34.28657797
2021,2021-06-01,monthly_climatology,31.26809163,31.72182629,30.51418805,32.92946453,29.87490298,33.5687496
2021,2021-03-01,climatology_linear_trend,33.31397345,32.16219036,30.97749171,33.34688902,30.35035012,33.9740306
2021,2021-04-01,climatology_linear_trend,35.4140913,33.25389271,32.06919406,34.43859137,31.44205247,35.06573295
2021,2021-05-01,climatology_linear_trend,33.23397297,32.83802855,31.6533299,34.02272721,31.02618832,34.64986879
2021,2021-06-01,climatology_linear_trend,31.26809163,32.12022472,30.93552607,33.30492338,30.30838448,33.93206496
2021,2021-03-01,sarimax,33.31397345,30.85906538,28.57248724,33.14564351,27.3620459,34.35608486
2021,2021-04-01,sarimax,35.4140913,31.96421098,29.67763285,34.25078912,28.4671915,35.46123046
2021,2021-05-01,sarimax,33.23397297,32.17206462,29.88548648,34.45864275,28.67504514,35.6690841
2021,2021-06-01,sarimax,31.26809163,32.14109579,29.85451765,34.42767392,28.64407631,35.63811527
2021,2021-03-01,ets,33.31397345,32.16148024,30.98895026,33.33401021,30.36825039,33.95471009
2021,2021-04-01,ets,35.4140913,33.2523446,32.07981462,34.42487457,31.45911474,35.04557445
2021,2021-05-01,ets,33.23397297,32.83513224,31.66260226,34.00766222,31.04190239,34.62836209
2021,2021-06-01,ets,31.26809163,32.11836486,30.94583488,33.29089483,30.32513501,33.91159471
2022,2022-03-01,seasonal_naive,33.30074761,33.31397345,31.61174974,35.01619716,30.71064694,35.91729996
2022,2022-04-01,seasonal_naive,34.05309177,35.4140913,33.71186759,37.11631501,32.81076479,38.01741781
2022,2022-05-01,seasonal_naive,32.3120379,33.23397297,31.53174926,34.93619668,30.63064646,35.83729948
