stratum,variable,valid_n,missing_n,mean,standard_deviation,median,first_quartile,third_quartile,interquartile_range,minimum,maximum,skewness,kurtosis,comparison,group,standardized_mean_difference
persistent_heatwave_day=False,soil_moisture_mean,6196,0,0.312508367,0.102316145,0.34985408,0.2064062425,0.40512502,0.1987187775,0.12858331,0.43791673,-0.4803456635,-1.348168728,persistent_heatwave_day,False,-1.647144083
persistent_heatwave_day=True,tmax,270,0,37.19975826,0.9073447186,37.035425,36.49542525,37.67792425,1.182499,36.000423,40.200424,1.008826928,0.7123667469,persistent_heatwave_day,True,2.903306316
persistent_heatwave_day=True,tmin,270,0,26.1537582,1.637541872,26.2904245,25.25292525,27.370424,2.11749875,21.050425,29.290424,-0.725414512,0.3610733262,persistent_heatwave_day,True,0.9941899856
persistent_heatwave_day=True,tmean,270,0,31.01442212,1.027124082,31.0245905,30.264593,31.71011325,1.44552025,28.450422,34.042923,0.2209174512,0.1905545874,persistent_heatwave_day,True,1.967449627
persistent_heatwave_day=True,day_night_range,270,0,11.04600006,1.7201715,10.85,9.7800015,12.1549995,2.374998,7.790001,16.35,0.4546481586,-0.1857566797,persistent_heatwave_day,True,1.11860676
persistent_heatwave_day=True,precipitation,270,0,1.077037044,3.343994036,0,0,0.375,0.375,0,27.9,4.687785831,25.36547213,persistent_heatwave_day,True,-0.6693177487
persistent_heatwave_day=True,rh_mean,270,0,66.9581102,6.77572972,68.304742,63.18909,71.903099,8.714009,45.884144,82.835594,-0.7589625638,0.2769672928,persistent_heatwave_day,True,-1.316323727
persistent_heatwave_day=True,wind_speed_mean,270,0,7.094606979,3.687833791,6.87778975,4.39436,9.64636,5.252,0.35999998,20.008356,0.4801385986,-0.03613714706,persistent_heatwave_day,True,0.4557317341
persistent_heatwave_day=True,cloud_cover,270,0,17.81523153,12.16060076,17.204167,8.56562525,24.15416625,15.588541,0,60.75,1.043842681,1.56445271,persistent_heatwave_day,True,-0.9405787706
persistent_heatwave_day=True,sunshine_duration,270,0,624.8228002,101.1033533,634.634725,577.405395,697.4036375,119.9982425,212.88184,811.8015,-1.04185051,1.897611074,persistent_heatwave_day,True,1.018046981
persistent_heatwave_day=True,shortwave_radiation,270,0,6724.648148,548.0423747,6800,6456.25,7087.5,631.25,4090,7991,-1.296364482,3.857458433,persistent_heatwave_day,True,1.466860483
persistent_heatwave_day=True,longwave_radiation,270,0,10042.88889,464.0990579,10120,9717.75,10410.5,692.75,8817,10958,-0.3828186282,-0.6539954104,persistent_heatwave_day,True,0.05542533489
persistent_heatwave_day=True,uv_radiation,270,0,780.7307019,57.24917859,789.02505,754.1950375,814.31995,60.1249125,459.76,900.11,-1.643377845,6.030391407,persistent_heatwave_day,True,1.48873892
persistent_heatwave_day=True,pressure_mean,270,0,1004.671675,2.545559998,1004.756195,1002.934445,1006.436463,3.5020175,997.69574,1012.70825,0.07339365852,0.1019137064,persistent_heatwave_day,True,-0.255382131
persistent_heatwave_day=True,evapotranspiration,270,0,3.889573329,0.858493568,3.7526403,3.270239925,4.53779955,1.267559625,1.8892803,6.2164803,0.2940515353,-0.4315747927,persistent_heatwave_day,True,0.1015257889
persistent_heatwave_day=True,soil_temperature_mean,270,0,32.24362981,1.219259742,32.177293,31.55604225,32.8865605,1.33051825,28.557089,36.623333,0.2891856936,1.400235568,persistent_heatwave_day,True,2.169384661
persistent_heatwave_day=True,soil_moisture_mean,270,0,0.183243209,0.04300128905,0.165520835,0.15399998,0.2025833525,0.0485833725,0.13429163,0.32779172,1.380428689,1.031848115,persistent_heatwave_day,True,-1.647144083
